Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7938280,"Tubing, 2.7 8"" x 6.5 PPF x N-80 EUE , Pup Joint, 2.7 8"" x 6.5 PPF x N-80 x 17ft , Pup Joint, 2.7 8"" x 6.5 PPF x N-80 x 5 ft","Pup Joint, 2.7 8""x 6.5 PPF x N-80 x 5 ft","File Folder (V3), Roller Blind (V2), Shaker Incubator, rubber bands, Permeable Nonwoven Surgical Adhesive Tape Conforming to IS 16948, Elastic Bandage Conforming to IS 16111, Plain Gauze Swab, Multimedia Projector (MMP), Correspondence Envelopes (V3) Conforming to IS 13892, Theft Proof Rifle Racks",External Upset End (EUE) Tubing External Upset End (EUE) Pup joints (Petroleum Industry) Premium Threaded Pup Joints(Petroleum Industry),Tub (V2),Weak — review,46%
GEM/2026/B/7935971,Heavy duty Pulse Laser Cleaning Machine with accessories,Heavy duty Pulse Laser Cleaning Machine with accessories,"IGBT Based Heavy Duty Power Source Air Plasma Cutting System with compressor, Heavy Duty Battery Charger, Photocopier Printer Trolley",Laser marking machine Laser cutting machine,Laser cutting machine,Weak — review,66%
GEM/2026/B/7934797,"BEACON, GDS, 110VAC, SOUNDER, ORANG LIGHT, PB","BEACON,GDS,110VAC,SOUNDER,ORANG LIGHT,PB","Echo Sounder, LED Luminaire For Road And Street Lights Conforming To IS 10322 (Part 5 Section 3) (V3) (Under BIS Scheme - II), Body Worn LED Flashing Warning Light, Track Light, Portable OT Light (V2), Bicycle Light, SHOULDER LIGHT, LED Luminaire (Recessed Luminaire) (Ceiling Light) Conforming To IS 10322 (Part 5 Section 2) (V4) (Under BIS Scheme - II), UV Light, Hand Held Search Light",Echo Sounder,Power Transducer,Weak — review,45%
GEM/2026/B/7933641,"Night Vision Device , Body Worn Camera",Body Worn Camera,"Body Worn Camera (V2), Hopper Tipper Dumper for Garbage, Docking Station for Body Worn Camera, Body Worn Camera as per MHA QRs (V3), E-cart for Goods, Body Worn Camera Systems (For RAF) as per MHA QRs, Mortuary Cabinet (V2), Body Worn LED Flashing Warning Light, Video Conferencing Camera Web Camera (V2), Camera Trap Trail Camera (V2)",Docking Station for Body Worn Camera Body Worn Camera Systems (For RAF) as per MHA QRs Body Worn Camera (V2),Body Worn Camera (V2),Weak — review,71%
GEM/2026/B/7934501,TOOL HOLDER MTENN 2525 M 22. MAKE- SANDVIK CERATIZIT KENNAMETAL WALTER TUNGALOY,TOOL HOLDER MTENN 2525 M 22. MAKE- SANDVIK CERATIZIT KENNAMETAL WALTER TUNGALOY,Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),Naval Brass Rods And Sections For Machining Purposes - IS 291,Weak — review,55%
GEM/2026/B/7893753,Purchase of Float Switches for Drainage and Dewatering System of Powerhouse,Purchase of Float Switches for Drainage and Dewatering System of Powerhouse,"Drone or Unmanned Aerial Vehicle with Customized Payload (Defence Forces - Navy, Army and Air Force), Reverse Osmosis based Point of Use Water Treatment System for Drinking Purposes (V3) as per IS 16240, Accounts and Bill Monitoring Management System Software, Triple Quadrupole LCMS System for contaminant analysis in Food and Dairy Products",Multi Level Float Switch,Multi Level Float Switch,Weak — review,55%
GEM/2026/B/7934715,SEALED COLLET ER-32 DIA 19-20 ULTRAPRECESSION AA ETM ER 32 SEAL (19-20) AA. MAKE-SANDVIK ETM EPB CE,SEALED COLLET ER-32 DIA 19-20 ULTRAPRECESSION AA ETM ER 32 SEAL (19-20) AA. MAKE- SANDVIK ETM EPB CERATIZIT WIDIA OTTO BILZ KORLOY MOTHERSON,Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),M - Seal as per IS 9197,Weak — review,48%
GEM/2026/B/7934268,DRILL D3 CFL 40 OAL 72 SH D4 (CARBIDE) . MAKE- CHAKSON WALTER GUHRING SANDVIK JDCT KORLOY RIGPL BILT,DRILL D3 CFL 40 OAL 72 SH D4 (CARBIDE). MAKE- CHAKSON WALTER GUHRING SANDVIK JDCT KORLOY RIGPL BILTZ,Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),Solid Carbide Drill,Weak — review,58%
GEM/2026/B/7897703,Handheld acoustic imaging camera along with its accessories,Handheld acoustic imaging camera along with its accessories,Category not available on GeM for the text string uploaded by the buyer,Camera for CCTV System (V3) Video Conferencing Camera Web Camera (V2) DSLR Camera Lens,Dslr / Compact / Handheld Camcorder Or Video Cameras (V2),Weak — review,52%
GEM/2026/B/7824808,Electro static discharge work place system,Electro Static Discharge work place system,"Electrostatic Discharge Chairs (V2), Antistatic Brush (V2), ESD Mat (V2)",Electrostatic Discharge Chairs (V2) ESD Mat (V2),Electrical Workbench,Weak — review,58%
GEM/2026/B/7934897,SOLID CARBIDE END MILL DIA 3.0MM AS PER SPECIFICATION DIA 3.0MM X FL 10 XOAL60X SD 6 X FLUTE-4 X SHL,SOLID CARBIDE END MILL DIA 3.0MM AS PER SPECIFICATION DIA 3.0MM X FL 10 XOAL60X SD 6 X FLUTE-4 X SHL 37 FOR BRACKET LMG 5.56MM. MAKE- SANDVIK ISSCAR SECO(JABRO) TITEX GUHERING FORBES PRECISION TOOLS HUB BILTZ,Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),Solid carbide end mill,Likely match,83%
GEM/2026/B/7933210,SUPPLY OF 16 NOS 12V 200AH DRY UPS BATTERY (SMF) ON BUYBACK BASIS,SUPPLY OF 16 NOS 12V 200AH DRY UPS BATTERY (SMF) ON BUYBACK BASIS,Category not available on GeM for the text string uploaded by the buyer,Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1) Secondary Lithium Cells and Batteries For Portable Application Conforming To IS 16047 (Part 3) Secondary Sealed Cells and Batteries For Portable Application - Nickel Metal Hydride Conforming To IS 16048 (Part 2),Online UPS (>10 KVA) With Battery,Weak — review,57%
GEM/2026/B/7934159,SUPER MILLING MACHINE VICE 150MM (CODE NO-U 309),SUPER MILLING MACHINE VICE 150MM (CODE NO-U 309),Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),"Milling Machine as per IS 6893, IS 8614, IS 9474",Weak — review,72%
GEM/2026/B/7849741,"OTS AWOS MIU v2.2 AWOS MIU , OTS WSDS MFCR v2.2 MFCR , OTS WSDS WS v2.2 WIND SENSOR ALONG WITH BIRD SPIKE AND MOUNTING KIT WITH 10 MTR CABLE , ZNC 401 RS422 NMEA CONVERTER",ZNC 401 RS422 NMEA CONVERTER,"Industrial Modbus TCP to Serial Gateway, Cables, Converters and Adapters",AutomationTestCategory_DoNotUse,SDR Kit,Weak — review,44%
GEM/2026/B/7928370,Corrosel for material storage,corrosel for material storage,"File Storage Box (V2), Lead Acid Storage Batteries For Motor Vehicles with Light Weight and High Cranking Performance (V2) Conforming to IS 14257, Storage Box for Electronic Component, Weightlifting Platform, Modular Cold Room Storage for Fruits and Vegetables, Poly-pallets for bag storage godowns (V2) Conforming to IS 13664, Internal Storage Device (SSD HDD) (V2), Trichloroethylene, Technical as per IS 245, Under Ground Above Ground Horizontal Cylindrical Steel Storage Tanks for Petroleum Products as per IS 10987:1992 (Latest), FRP Storage Tank (V2)",Metal Storage Cabinet File Storage Box (V2) Mobile Storage Compactors,One Part Universal Anti-Corrosive Coating,Weak — review,53%
GEM/2026/B/7928170,Digital weighing machine-2000 Kgs,digital weighing machine 2000 kg,"Digital Weighing Scale (Mother & Child) under POSHAN Abhiyaan, Electronic Weighing Scales, Micro Semi- Micro Analytical weighing balance, Household Sewing Machine Head, Digital pH Meter, Digital Spring Testing Machine, Ice Flake Making Machine, Digital BMI Machine (V2), Roti Making Machine, electronic digital postal franking machine",Electronic Weighing Scales Digital Weighing Scale (Mother & Child) under POSHAN Abhiyaan Weighing Scale (Infant) under POSHAN Abhiyaan,Electronic Weighing Scales,Weak — review,67%
GEM/2026/B/7870576,"Vacuum contactor Part no. 3RT1275-6AF36 Siemens make as per Annexure TS , Spare coils for Siemens make vacuum contactor Part no 3RT1975-5AF318K as per Annexure TS , Spare vacuum interrupters Part no. 3RT1975-6V Siemens make as per Annexure TS",Siemens vacuum interrupters 3RT1975-6V,"Portable Fire Extinguishers (V3) ISI Marked to IS 15683, Vacuum Circuit Breakers - Indoor type as per IS 13118, Blood Collection Tube, Air Break Contactors, Desk and Bench Set for Classroom Training Area, Desk and Chair Set for Classroom Training Area, Wheeled Fire Extinguishers (V3) ISI Marked to Is 16018, shoes school pvc boys girls, Reverse Osmosis based Point of Use Water Treatment System for Drinking Purposes (V3) as per IS 16240, Vacuum Oven",Vacuum Contactor Conforming To IS IEC 60470,Vacuum Contactor Conforming To IS/IEC 60470,Weak — review,61%
GEM/2026/B/7930340,Cyclopentane in 2.5 L glass bottle. CAS No. 287-92-3,Cyclopentane in 2.5 L glass bottle. CAS No.287-92-3,"MTT (3-(4,5-Dimethylthiazol-2-yl)-2,5-Diphenyltetrazolium Bromide), DIETHYLAMINE, Murexide or Ammonium Purpurate",Pentane (V2),Laboratory Glassware Bottles (Conical Neck Bottles) as per IS 1388 (Part 2),Weak — review,55%
GEM/2026/B/7910263,Semi-Automatic Optical Polishing Machine with Bowl Feed Slurry System,Semi-Automatic Optical Polishing Machine with Bowl Feed Slurry System,Category not available on GeM for the text string uploaded by the buyer,Polishing Machines,Polishing Machines,Weak — review,69%
GEM/2026/B/7887861,90 Degree optical hybrid with FC APC Connector at each port,90 Degree optical hybrid,"Polarimeter, Commercial PPR Pipes Fittings as per IS 15801, Ductile Iron Fittings for Pressure Pipes for Water, Gas and Sewage as per IS 9523",Equilateral Optical Prisms,Optical Fibre Cable for Networking,Weak — review,45%
GEM/2026/B/7886350,Genomic DNA Extraction Kit (for 50 reactions),Genomic DNA Extraction Kit,"Nucleic Acid Extraction Kit (Diagnostic Purpose), Forensic DNA Extraction Kit, Nucleic Acid Extraction Kit (For Research Use Only), Line Probe Assay DNA Extraction Kit under NTEP, automated nucleic acid extraction machine, Viral RNA Extraction Kit, Human Identification - DNA Kit Autosomal STR (Forensic use), Human Identification- DNA Kit : Autosomal Mini STR (Forensic Use), Human Identification - DNA Kit Y Chromosomal STR (Forensic use), DNA Evidence Sample Collection Kit (MO) - Medical Examination Kit for Sexual Assault Cases",Nucleic Acid Extraction Kit (For Research Use Only) Forensic DNA Extraction Kit,Forensic DNA Extraction Kit,Likely match,65%
GEM/2026/B/7915217,Odometer(Pulse Generator),Odometer(Pulse Generator),"Pulse Oximeter (V2), Ultrasonic pulse velocity tester, Surge Generator, Diesel Power Generator (V2), function generator, Signal Generator, Nitrogen Generator, Portable Power Generator (V2), Portable Emergency LED Lighting Tower System with AC Generator Set, Hydrogen Gas Generator",Laser Distance Meter Distance Vision Testing Drum (V2),Ultrasonic pulse velocity tester,Weak — review,58%
GEM/2026/B/7909854,Vertical RAM Turret Milling Machine,Vertical RAM Turret Milling Machine,"VMC Machine (V1), Milling Machine as per IS 6893, IS 8614, IS 9474, Band Saw Machine, 5 Axis CNC Double Column Vertical Machining Centre Gantry Type Machining Centre, Vacuum Packaging Machine, Honing Machine, 5 Axis CNC Horizontal Machining Centre, CNC Horizontal Machining Centre (HMC), 5 Axis CNC Turn-Mill Centre Machine, CNC Simulator","VMC Machine (V1) Milling Machine as per IS 6893, IS 8614, IS 9474","Milling Machine as per IS 6893, IS 8614, IS 9474",Weak — review,58%
GEM/2026/B/7901628,Condenser fan motor for -20 degree deep freezer as per attached annexure,Condenser fan motor for -20 degree deep freezer,"Low Temperature Laboratory Deep Freezer (up to-40°C Degree), Laboratory Deep Freezer (Upto -20°C Degree), Ultra Low Temperature Laboratory Deep Freezer (up to - 86°C Degree), Deep Freezer For Universal Immunization Program, Capacitors for Electric Fan Motors as per IS 1709 (V2)",Condenser Coil Laboratory Condenser Air Condenser,Laboratory Deep Freezer (Upto -20°C Degree),Weak — review,56%
GEM/2026/B/7838581,Capacitance pressure gauge with suitable single gauge display and control unit as per specification,Capacitance pressure gauge with suitable single gauge display & control unit,Filter cum Pressure Regulater,Pressure Sensor Pressure and Vacuum Gauges as per IS:3624 Dial type indicating Pressure Gauges,Pressure and Vacuum Gauges as per IS:3624,Weak — review,54%
GEM/2026/B/7933876,"SOLID CARBIDE DRILL DIA 3.5 MM X FL 35 MM X OAL 70 MM X SD 3.5 MM, MULTILAYER TIALN COATED. MAKE","SOLID CARBIDE DRILL DIA 3.5 MM X FL 35 MM X OAL 70 MM X SD 3.5 MM, MULTILAYER TIALN COATED. MAKE - FORBES SECO MOTHERSON JDCT","Burnt Clay Fly Ash Building Bricks conforming to IS 13757, Common Burnt Clay Building Bricks conforming to IS 1077",Bracket (Defence),Solid Carbide Drill,Weak — review,74%
GEM/2026/B/7934011,COLLET ULTRA PRECESSION AAER16 DIA(2-3) EMM CODE ER16 SPR(2-3) AA-2500015. MAKE-SANDVIK ETM EPB CERA,COLLET ULTRA PRECESSION AAER16 DIA(2-3)EMM CODE ER16 SPR(2-3) AA-2500015. MAKE- SANDVIK ETM EPB CERATIZIT KENNAMETAL WEDIA DORMER,Category not available on GeM for the text string uploaded by the buyer,Bracket (Defence),EMG NCV EP Machine (V2),Weak — review,42%
GEM/2026/B/7874124,"75 kW, 3-phase, IE3 efficiency class induction motor , 11 kW, 3-phase, IE3 efficiency class induction motor","11 kW, 3-phase, IE3 efficiency class induction motor","Line Operated Three Phase AC Motors (Induction Motor) ISI Marked To IS 12615, Distribution Transformer, 3 Phase, 11 kV, >200 KVA upto and Including 2500 KVA ISI Marked To IS 1180 (Part 1), Chlorinated Polyvinyl Chloride (CPVC) Pipes For Portable Hot and Cold Water Distribution Supplies (V3) conforming to IS 15778",Line Operated Three Phase AC Motors (Induction Motor) ISI Marked To IS 12615,Line Operated Three Phase AC Motors (Induction Motor) ISI Marked To IS 12615,Weak — review,51%
GEM/2026/B/7866049,"Unmanaged L2 Ethernet Switch (Non-PoE) , Optical Fibre Cable for Networking , Fibre Media Converters (V2) , Fiber Optic Patch Cord (V2) , Ethernet Information Outlet , Ethernet Cables , IR Illuminator power supply 12V DC, 2 Amp , Encrypted RFID Tag (Permanent) , Encrypted RFID Tag (Temporary) , Unmanaged PoE 8 Port Network Switch",Unmanaged 8 Port POE Network Switch,"Unmanaged L2 Ethernet Switch (PoE), Unmanaged L2 Ethernet Switch (Non-PoE), Industrial Ethernet Switch (V2), Director-Class Storage Area Network (SAN) Switch",Unmanaged L2 Ethernet Switch (PoE),Unmanaged L2 Ethernet Switch (Non-PoE),Weak — review,60%
GEM/2026/B/7935804,VVVF Hermetically Scroll Type Compressor for HVAC Unit,VVVF Hermetically Scroll Type Compressor for HVAC Unit,Category not available on GeM for the text string uploaded by the buyer,CNG Compressor (HPCL),Element Filter Compressor,Weak — review,47%
GEM/2026/B/7717725,"TONSILLECTOMY PROBE , ADENO- TONSILLECTOMY PROBE",ADENO- TONSILLECTOMY PROBE,"Four Probe, Ultrasonic Probe Sonicator, Current Probe, Dental Straight Probe (V2) - RBSK, Sample Gas Probe, High Voltage Probe (V2), Candy Thermometer Food Thermometer, Electron Probe Micro Analyzer (EPMA), Line Probe Assay Kit for First Line Drugs under NTEP, Dental Explorers - RBSK",Four Probe,Surgical Operating ENT Microscope,Weak — review,44%
GEM/2026/B/7740220,Elemental Analyzer (CHNSO) as per attached specifications,Elemental Analyzer (CHNSO) Eqipment,Category not available on GeM for the text string uploaded by the buyer,Gas Analyser Hematology Analyzer (Fully-Automated) Water Quality Meters Analyzers,Residual Chlorine analyzer,Weak — review,53%
GEM/2026/B/7887803,"Repair, maintenance of publicity hoardings","Repair, maintenance of publicity hoardings","Repair, Maintenance, and Installation of Plant Systems Equipments (Version 2), Operation And Maintenance Of Substation, Operation And Maintenance Of Lifts (Elevators), Operation and Maintenance Services of Power Generator(DG-Set), Annual Maintenance service-AIR CONDITIONER, Operation And Maintenance Of Fire Alarm System, ANNUAL MAINTENANCE SERVICE FOR Centralised air conditioning system, Operation And Maintenance Of Electro-Mechanical Installations, Repair and Overhauling Service, Hiring of Boats",Flex Posters Banners (V2),Posters/Pamphlets/Brochures (V2),Weak — review,42%
GEM/2026/B/7748559,5 KG GRAVITY DROP ANTI-PERSONNEL PAYLOAD,5 KG GRAVITY DROP ANTI-PERSONNEL PAYLOAD,Towel Ring,Anti Drone Gun as per MHA QR Drone or Unmanned Aerial Vehicle with Customized Payload,Specific Gravity Separator,Weak — review,43%
GEM/2026/B/7748294,2 KG GRAVITY DROP ANTI-PERSONNEL PAYLOAD,2 KG GRAVITY DROP ANTI-PERSONNEL PAYLOAD,"Cast Copper Alloy Screw Down Bib Taps and Stop Valves for Water Services conforming to IS 781, Towel Ring",Anti Drone Gun as per MHA QR Drone or Unmanned Aerial Vehicle with Customized Payload,Specific Gravity Separator,Weak — review,45%
GEM/2026/B/7930680,"ENAMEL NEW PHIROJA BLUE, COLOR SHADE ISC NO. 176 OF IS: 5 TO JSS: 8010-1 CQA(M) SS 98(b) (EQV","ENAMEL NEW PHIROJA BLUE, COLOR SHADE ISC NO. 176 OF IS: 5 TO JSS : 8010-1 CQA(M) SS 98(b) (EQV. IS: 113- 1950(SUPERSEDED) IN 4 LTR CONTAINER. (MAKE: M S GOODLASS NEROLAC ASIAN BERGER ICI (INDIA) SHALIMAR PAINTS ONLY ACCEPTABLE",Category not available on GeM for the text string uploaded by the buyer,Universal Indicator,Polyurethane Full Gloss Enamel (two Pack) as per IS 13213,Weak — review,56%
GEM/2026/B/7926003,"Supply, installation & commissioning of Ductless Fume Hood",Ductless fumehood with table,"Stainless Steel Dining Table With Fixed Chair, Modular Table Meeting Table Centre Table (V2), Dharapathy With Tiltable Steel Table (Ayurvedic Treatment Table) For Panchakarma, Indian National Flag for Table with Stand, Computer Table (V3), Executive Table (V4), Electronic Clock with Mains Power, Lucknow Chikan Embrodiery - ODOP, Dressing Table, High-end Office Furniture Set (V2)",Fume Hood (FSSAI),Fume Exhaust System with Scrubber or Fume Hood with Scrubber,Weak — review,64%
GEM/2026/B/7914267,"Servo System 46 or equivalent of BPCL, HPCL, Balmerol , Servo Press 150 or equivalent of BPCL, HPCL, Balmerol","Servo Press 150 or equivalent of BPCL, HPCL, Balmerol",Category not available on GeM for the text string uploaded by the buyer,Anti Wear Hydraulic Oil (V5) Conforming to IS 10522,Special Tools (Deepwell Hand Pumps Components) as per IS 15500,Weak — review,53%
GEM/2026/B/7847802,Double girder type 5te EOT crane as per specification attached,Double girder type 5te EOT crane,EOT Crane,EOT Crane,Mobile Truck Crane (V2),Weak — review,61%
GEM/2026/B/7731235,Rotary Roasting Furnace,Rotary Roasting Furnace,"Tubular Furnace, Muffle Furnace, Rotary Shaker, Rotary Encoder, Rotary Evaporator, Rotary Microtome, Muffle Box Furnace (V2), Benchtop Thermocouple Calibration Furnace (High Temperature Thermocouple Calibration Furnace) Portable Calibration Furnace, Rotary Rescue Saw, Rotary Selector Switch Conforming To IS IEC 60947 (Part 3)",Infrared Heating Panel (V2) Muffle Furnace,Tubular Furnace,Weak — review,56%
GEM/2026/B/7898653,Pure Sine Wave Hybrid Solar Inverter and Battery Combo,LITHIUM UPS INVERTER WITH BATTERY COMBO,"Inverter Battery Trolley, Online UPS (≤10 KVA) With Battery Conforming To IS 16242 (Part 1), Online UPS (>10 KVA) With Battery, Battery Operated Motorized Tricycle Conforming to IS 17154, Lithium Battery For Use With Radio Set in Mobile Role as per MHA QRs, Online UPS (>10 KVA) Without Battery, Line Interactive UPS with AVR (V2), Lithium ion solar battery, Pin Up Notice Board (V2), Online UPS (≤10 KVA) Without Battery Conforming To IS 16242 (Part 1)",On Grid Solar Inverter,On Grid Solar Inverter,Weak — review,58%
GEM/2026/B/7958406,"1- PC103-999-SH1502M - DOLN472-15K-3.3(BROWN) GE50385. LEXAN F6006 EUROPLEX F3 1.5 , 2- PC408-999- SH1502M - DOLN472-15K LEXAN F6006, 3.1 CREAM GE8003 EUROPLEX F3","POLYCARBONATE SHEET-F6006-1.5 MM DOLN472-15K LEXAN F6006,3.1 CREAM GE8003 EUROPLEX F3 1.5 MM THK Size = 1350 X 2600 mm. POLYCARBONATE SHEET- F6006-1.5 MM",Category not available on GeM for the text string uploaded by the buyer,Poly Carbonate Shield (MHA) (V2),FPO - Cinnamon Stick (Daalchini)-IS:4811,Weak — review,49%
GEM/2026/B/7933009,Resin Based-3D Printer,resin-based 3D Printer,"Industrial composite color 3D Printer, A3 Size Multifunction Printer (MFP), Denture Based Resin (V2), Epichlorohydrin Based Poly Amide Resin, Consumables for PVC Card Printer, Portable Fire Extinguishers (V3) ISI Marked to IS 15683, Thermal Ribbons for Label Barcode Printer, Reverse Osmosis based Point of Use Water Treatment System for Drinking Purposes (V3) as per IS 16240, Label Printer Barcode Printer, Low Voltage MCCB with Thermal Magnetic Electronic Trip Unit Conforming To IS IEC 60947 (Part 2)",Industrial composite color 3D Printer Denture Based Resin (V2) A3 Size Multifunction Printer (MFP),Industrial composite color 3D Printer,Weak — review,71%
GEM/2026/B/7934142,Xpert MTB RIF ULTRA kits for detection of mycobacterium tuberculosis as per specification attached,Xpert MTB RIF ULTRA kits for detection of mycobacterium tuberculosis and RIF resistance in patient samples by CBNAAT. pack of 50 tests,Real Time PCR Kits (V2),Nucleic Acid Amplification Test (NAAT) based PCR Diagnostic Kit for Human Samples,Tuberculosis (TB) Drug Envelope,Weak — review,53%
GEM/2026/B/7954512,"RDF Pellet Machine , RDF Shredder Machine (Four Shaft Jaw) , Conveyor Belt , Screw Conveyor",Screw Conveyor,"Conveyor Belt System, Screw Compressor, Conveyor and Elevator Textile Belting (General Purpose Belting) as per IS 1891, Compression Screw, Bone Screw (V2), Conveyor Pulley Lagging, Steel Cord Conveyor Belts Conforming to IS 15427, Copper Alloy Gate Valve For Waterworks Purpose (V2) Conforming to IS 778, Screw Cap Vial, Karabiners Screw Type MK - 2 (Defence)",Composter for Solid Waste Management,Tractor Operated Reaper Cum Binder,Weak — review,54%
GEM/2026/B/7938621,FURNITURE ITEMS,FURNITURE ITEMS,"Wooden Furniture from Alipurduar - ODOP, Revolving Chair (V5), Furniture Products Sankheda Furniture from Chhota Udepur - ODOP, Tactical Crime Scene Latent Print Kit, Handicraft Items from Kutch - ODOP, Modular Table Meeting Table Centre Table (V2), Patio Furniture set- Handicraft, High-end Office Furniture Set (V2), Wooden Furniture from Chhatarpur - ODOP, Desk and Bench Set for Classroom Training Area",Desk and Bench Set for Classroom Training Area,High-end Office Furniture Set (V2),Weak — review,71%
GEM/2026/B/7959706,Wooden Pallet as per drawing,Wooden Pallet as per drawing,"Wooden Packing Cases and Crates (as per BHEL drawings), Microscopes - Pathological and Research as per IS 4381, IS 5204, IS 4381, IS 5204, Radiator as per Drawing (BHEL), Armature as per Drawing (BHEL), Sheeting, Tickings and Bedsheets (V2) as per IS 175, Drawing Pins (V3) as per IS 5205, Dunnage Pallets Made from Recycled Plastic Wastes for Warehousing Applications as per IS 16058, socks, Hard Wood as per IS 1331, Modular Cold Rooms","Wooden Packing Cases and Crates (as per BHEL drawings) Wooden Pallets for Packaging, Storage and Transportation (V2) Conforming to IS 17427 Hard Wood as per IS 1331","Wooden Pallets for Packaging, Storage and Transportation (V2) Conforming to IS 17427",Weak — review,61%
GEM/2026/B/7897110,"Inter cooler assembly for compressor SAC and IAC as per drawing. , After cooler assembly for compressor SAC and IAC as per drawing",After cooler assembly for compressor SAC and IAC as per drawing.Shell drawing: CM BM3 COMP 013 2018 and Tube bundle drawing:CM BM3 COMP 012 2018.Cooler shell and tube bundle are assembled and tested,"Copper Tube 104.9mm-OFB, Welded Austenitic Stainless Steel Tubes For Condensers And Heat Exchangers- BHEL, Shaft and Shaft Assembly as per Drawing (RCF)",Self - Contained Drinking Water Coolers (V3) as per IS 1475,Reciprocating Air Compressor (IOCL),Weak — review,46%
GEM/2026/B/7934523,TORQUE CONTROL WRENCH EXTENSION ASSY 219.93. CB196CB,TORQUE CONTROL WRENCH EXTENSION ASSY 219.93.CB196CB,Category not available on GeM for the text string uploaded by the buyer,Tank Mule MK-4 (Defence),Dial Type Torque Wrench,Weak — review,64%
GEM/2026/B/7935955,"201W 533H 3111 203-BRACKET TOP , 201W 533H 3111 204 - BRACKET BOTTOM",201W 533H 3111 204-BRACKET BOTTOM,Category not available on GeM for the text string uploaded by the buyer,HELIBORNE EQUIPMENTS (MHA),Steel Butt Hinges (V2) ISI marked to IS 1341,Weak — review,42%
GEM/2026/B/7908267,"Professional Digital Sound Card , Computer Workstation System",Computer Workstation system,"Fixed Computer Workstation, Entry and Mid Level Desktop Computer, Mobile Computer Workstation, Anaesthesia Workstation (V3), High End Desktop Computer, Computer Processors, Computer Table (V3), HEPA Workstation, Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2), Computer Motherboards",Fixed Computer Workstation,Audio Digital Signal Processor,Weak — review,59%
GEM/2026/B/7906514,5 Axis simultaneously controlled CNC wire cut EDM machine,5 Axis simultaneously controlled CNC wire cut EDM machine,"5 Axis CNC Horizontal Machining Centre, CNC Simulator, 5 Axis CNC Turn-Mill Centre Machine, 5 Axis CNC Double Column Vertical Machining Centre Gantry Type Machining Centre",EDM Brass Wire 5 Axis CNC Horizontal Machining Centre CNC Plasma Cutting Machine,5 Axis CNC Horizontal Machining Centre,Weak — review,65%
GEM/2026/B/7893310,"ROD 486 INCREMEN ROTARY ENCODER ID: 376886-09 ROD 486 1024 03S12-03 K 1.00 02 73A01C 64 01, HEIDENHAIN , LC 185 ABSOLUTE SEALED LINEAR ENCODER LENGTH: 2440MM MAKE: HEIDENHAIN , LC 185 ABSOLUTE SEALED LINEAR ENCODER LENGTH: 1740MM MAKE: HEIDENHAIN , LC 185 ABSOLUTE SEALED LINER ENCODER LENGTH: 2040MM MAKE: HEIDENHAIN , ADAPTER CABLE ID NO. 533631-03 APK 02 05 3.00 0TB01 4 03S017-7V BK. . 01 1 MAKE: HEIDENHAIN",ADAPTER CABLE ID NO. 533631-03 APK 02 05 3.00 0TB01 4 03S017-7V BK.. 01 1 GROSS WEIGHT 0.2594. MAKE: HEIDENHAIN,Category not available on GeM for the text string uploaded by the buyer,Rotary Encoder,Rotary Encoder,Weak — review,59%
GEM/2026/B/7856610,Fabrication of work bench with storage racks for technical section,"Fabrication of work bench with storage racks for technical section at 744 SQN(CG), ICGAS Chennai",Category not available on GeM for the text string uploaded by the buyer,High-end Office Furniture Set (V2),Heavy Duty Storage Racks,Weak — review,69%
GEM/2026/B/7910571,FISH SEED (50-60 mm),Fish Seed,"Seed Drill, Seed Germinator Equipment, Cardamom Seed, 20 Kg Capacity Cotton Cloth Bags for Seed Packing as per NSCL Specifications, Fish Collection Nets, Seed cum Fertilizer Drill, Trout Fish from Bandipora - ODOP, DW Jute Tarpaulin Bags - National Seed Corporation, Seed Grader (V3), PP Plastic Woven Non - Laminated Bags (for Seed Packaging) (V2)",Seed Drill Fish Collection Nets Trout Fish from Bandipora - ODOP,Marigold Seeds,Weak — review,54%
GEM/2026/B/7936341,Set of VCB Filter Elements and Spare Parts Kits,Set of VCB Filter Elements and Spare Parts Kits,TERA Package 1 - Robotics and Automation Modular Skilling Kits,TERA Package 1 - Robotics and Automation Modular Skilling Kits,Electronics & Hardware Kit,Weak — review,52%
GEM/2026/B/7936258,Easyprinter Printing Device,Easyprinter Printing Device,"Offset Printing Ink, Plotter Paper Roll (V2), Flex Printing Machine, Rubber Blanket, Ammonia Printing Machine, Rubber Sucker for Printing, Cotton Towelling And Towels Conforming To IS 7056 (V4), Offset printing cleaning Chemical, Toner Cartridges Ink Cartridges Consumables for Printers, Offset Printing Ink (V2)",Soldering and Desoldering Station with digital display,Flex Printing Machine,Weak — review,66%
