concept,category_hint,terms
Mattress / Gadda,mattress gadda foam bed,mattress;mattresses;gadda;gaddaa;gadde;foam mattress;coir mattress;spring mattress;cotton mattress;orthopedic mattress;memory foam mattress;pu foam mattress;rubberized coir mattress;single mattress;double mattress;hospital mattress;hostel mattress;air mattress;water mattress;gel mattress;matress;mattres;gadda foam;gaddha;gadela;bed mattress;cot mattress;king size mattress;queen size mattress;bonded foam mattress;high density foam mattress;medical mattress;air bed mattress;ripple mattress;alpha mattress;anti bedsore mattress;pressure relief mattress;roll pack mattress;folding mattress;portable mattress;baby mattress;infant mattress;crib mattress;hard mattress;soft mattress;medium firm mattress;6 inch mattress;5 inch mattress;4 inch mattress;8 inch mattress;mattress foam;gadda mattress;sleeping mattress
Curtain / Blinds,curtain blinds parda window,curtain;curtains;parda;pardah;parde;window curtain;door curtain;blinds;window blinds;roller blinds;vertical blinds;venetian blinds;roman blinds;zebra blinds;wooden blinds;bamboo blinds;pvc blinds;cotton curtain;polyester curtain;velvet curtain;sheer curtain;net curtain;curtan;curten;curtin;pardaa;curtain parda;eyelet curtain;ring curtain;pleated curtain;blackout curtain;room darkening curtain;thermal curtain;printed curtain;plain curtain;designer curtain;office curtain;hospital curtain;cubicle curtain;hospital cubicle curtain;track curtain;curtain track;curtain rod;shower curtain;partition curtain;stage curtain;long curtain;short curtain;window blind;sun blind;outdoor blinds;monsoon blinds;chick blinds;window covering;curtain blinds;window shade;door parda
Pillow / Cushion,pillow cushion takiya bedding,pillow;pillows;takiya;takiyaa;takia;cushion;cushions;gaddi;fibre pillow;foam pillow;memory foam pillow;cotton pillow;microfibre pillow;orthopedic pillow;cervical pillow;neck pillow;bed pillow;sleeping pillow;pillow cover;cushion cover;takiya cover;pilow;pillo;pilllow;takia cover;sofa cushion;chair cushion;seat cushion;back cushion;lumbar cushion;decorative cushion;throw cushion;bolster;masnad;round cushion;square cushion;hospital pillow;hostel pillow;travel pillow;u shaped pillow;baby pillow;infant pillow;pregnancy pillow;body pillow;wedge pillow;coccyx cushion;donut cushion;air cushion;gel cushion;pressure relief cushion;wheelchair cushion;cotton cushion;fibre cushion;pillow filler;cushion filler;pillow takiya;cushion pillow;soft pillow
Carpet / Mat / Durrie,carpet mat durrie floor covering,carpet;carpets;mat;mats;durrie;dari;darри;floor mat;door mat;doormat;rug;rugs;area rug;carpet roll;wall to wall carpet;office carpet;exhibition carpet;red carpet;coir mat;rubber mat;pvc mat;anti slip mat;anti skid mat;carpat;carppet;carpit;darrie;chatai;yoga mat carpet;prayer mat;gym mat;exercise mat;entrance mat;welcome mat;kitchen mat;bath mat;floor covering;carpet tiles mat;modular carpet;loop pile carpet;cut pile carpet;printed carpet;persian carpet;handmade carpet;machine made carpet;woolen carpet;nylon carpet;polypropylene carpet;jute mat;coir matting;rubber matting;interlocking mat;eva mat;play mat;safety mat;industrial mat;electrical insulation mat;rubber insulation mat;carpet mat;floor durrie;chatai mat
Sports Equipment,sports equipment games play,sports equipment;sports goods;sports items;games equipment;khel samagri;cricket kit;cricket bat;cricket ball;football;foot ball;volleyball;basketball;basket ball;badminton racket;badminton set;shuttlecock;table tennis;tt table;tennis racket;hockey stick;carrom board;chess board;skipping rope;sports equipmnt;sports equpment;sport goods;sports material;playground equipment;gym sports equipment;athletic equipment;track and field equipment;javelin;discus;shot put;kabaddi mat;kho kho equipment;wrestling mat;boxing gloves;boxing kit;cricket stumps;cricket pads;batting gloves;wicket keeping kit;sports net;goal post;volleyball net;badminton net;sports whistle;stop watch;medals sports;sports trophy;playing equipment;indoor games;outdoor games;sport kit;sports gear
Gym / Fitness Equipment,gym fitness exercise equipment,gym equipment;fitness equipment;exercise equipment;gym machine;treadmill;exercise cycle;spin bike;cross trainer;elliptical;rowing machine;stepper;dumbbell;dumbbells;barbell;weight plates;gym weights;kettlebell;home gym;multi gym;gym station;leg press machine;chest press machine;lat pull down;gym equipmnt;fitnes equipment;jim equipment;excercise equipment;gym set;bench press;gym bench;flat bench;incline bench;abdominal bench;sit up bench;power rack;squat rack;smith machine;cable crossover;pull up bar;push up bar;resistance band;yoga mat;gym mat;exercise mat;skipping rope fitness;hand gripper;ab roller;twister;gym flooring;commercial gym equipment;cardio equipment;strength equipment;outdoor gym equipment;open gym equipment;fitness machine;workout equipment;exercise machine;gym gear
Rice / Chawal,rice chawal grain food ration,rice;chawal;chaawal;chaval;basmati rice;non basmati rice;raw rice;boiled rice;parboiled rice;sona masoori rice;ponni rice;idli rice;brown rice;white rice;broken rice;rice grain;milled rice;polished rice;rise;riz;chawl;chwal;steam rice;long grain rice;short grain rice;medium grain rice;1121 basmati rice;1509 basmati rice;pusa basmati rice;fortified rice;rice ration;pds rice;public distribution rice;midday meal rice;hostel rice;canteen rice;bulk rice;50 kg rice;25 kg rice;food grain rice;cereal rice;kolam rice;gobindobhog rice;matta rice;red rice;organic rice;premium rice;aromatic rice;table rice;cooking rice;ration rice;rice bag;khadyann chawal;anaj rice;rice food grain
Wheat Flour / Atta,wheat flour atta grain food,atta;aata;wheat flour;wheat;gehu;gehun;gehoon;wheat atta;whole wheat flour;chakki atta;chakki fresh atta;multigrain atta;maida;refined flour;sooji;suji;semolina;rava;besan;gram flour;wheat grain;wheat seeds food;attaa;atta wheat;geheun;gahu;fortified atta;fortified wheat flour;wholemeal flour;brown atta;sharbati atta;mp wheat;lokwan wheat;durum wheat;wheat ration;pds atta;public distribution atta;midday meal atta;hostel atta;canteen atta;bulk atta;50 kg atta;25 kg atta;10 kg atta;5 kg atta;food grain wheat;cereal wheat;flour atta;roti atta;chapati atta;cooking flour;ragi flour;jowar flour;bajra flour;millet flour;rice flour food;atta gehu;gehun atta;anaj wheat
Pulses / Dal,pulses dal lentil food grain,dal;daal;pulses;pulse;lentil;lentils;toor dal;arhar dal;moong dal;green gram;urad dal;black gram;chana dal;bengal gram;masoor dal;red lentil;rajma;kidney beans;chana;chickpea;kabuli chana;white chana;lobia;cowpea;matar;green peas dal;dal pulses;dhal;dail;dal grain;whole moong;split moong;whole urad;split urad;whole masoor;yellow dal;moth dal;kulthi dal;horse gram;soybean dal;besan dal;pulses ration;pds dal;public distribution dal;midday meal dal;hostel dal;canteen dal;bulk dal;50 kg dal;25 kg dal;food grain pulses;protein pulses;cooking dal;unpolished dal;organic dal;premium dal;dal food grain;dals;anaj dal
Cooking Oil / Edible Oil,cooking oil edible tel food,cooking oil;edible oil;oil;tel;khadya tel;refined oil;sunflower oil;soybean oil;mustard oil;sarson tel;groundnut oil;moongfali tel;palm oil;rice bran oil;cottonseed oil;vegetable oil;vanaspati;dalda;ghee;desi ghee;cooking tel;khana pakane ka tel;refined sunflower oil;refined soybean oil;cooking oyl;edible oyl;cookng oil;coconut oil cooking;sesame oil;til oil;kachi ghani oil;cold pressed oil;filtered oil;double refined oil;blended oil;olive oil;canola oil;1 litre oil;5 litre oil;15 litre oil tin;oil tin;oil pouch;oil bottle food;bulk cooking oil;ration oil;pds oil;midday meal oil;hostel oil;canteen oil;fortified oil;vitamin a oil;frying oil;salad oil;edible oil pack;cooking medium oil;food oil
Umbrella / Rain Gear,umbrella raincoat rain monsoon,umbrella;umbrellas;chhata;chatta;chhatri;chatri;rain umbrella;sun umbrella;garden umbrella;beach umbrella;golf umbrella;2 fold umbrella;3 fold umbrella;automatic umbrella;manual umbrella;kids umbrella;big umbrella;large umbrella;umbrela;ambrella;umberella;chhaata;chата;raincoat;rain coat;barsati;rain suit;rain gear;monsoon gear;poncho;rain poncho;rain jacket;rainwear;rain cover;pvc raincoat;nylon raincoat;polyester raincoat;double layer raincoat;reversible umbrella;windproof umbrella;advertising umbrella;promotional umbrella;printed umbrella;office umbrella;school umbrella;cafe umbrella;patio umbrella;market umbrella;table umbrella;vendor umbrella;hawker umbrella;waterproof raincoat;rain protection;monsoon umbrella;folding umbrella;straight umbrella;umbrella chhata
Torch / Flashlight,torch flashlight emergency light,torch;torches;flashlight;flash light;led torch;rechargeable torch;battery torch;emergency light torch;hand torch;search light;searchlight;head torch;headlamp;head lamp;solar torch;waterproof torch;metal torch;plastic torch;mini torch;pocket torch;torch light;torchlight;tourch;torchh;flashlite;flash-light;high power torch;long range torch;zoom torch;focus torch;police torch;security torch;tactical torch;keychain torch;usb rechargeable torch;dry battery torch;3w torch;5w torch;10w torch;cob torch;lantern torch;camping torch;trekking torch;cycle torch;bike torch;work light torch;inspection torch;led flashlight;portable torch;emergency torch;night torch;hand held torch;rechargeable flashlight;torch flashlight;battery light
Wall Clock / Timepiece,clock wall timepiece time,clock;clocks;wall clock;wallclock;ghadi;ghadiyaal;deewar ghadi;table clock;desk clock;alarm clock;digital clock;analog clock;quartz clock;pendulum clock;office wall clock;school wall clock;designer wall clock;decorative wall clock;wall clok;wal clock;wall-clock;clok;clcok;ghari;silent wall clock;sweep clock;second hand clock;big wall clock;large wall clock;round wall clock;square wall clock;digital wall clock;led wall clock;temperature clock;date time clock;calendar clock;station clock;railway clock;gps clock;master clock;slave clock;digital display clock;count down timer clock;world clock;nixie clock;wooden wall clock;metal wall clock;plastic wall clock;acrylic wall clock;timepiece;time clock;clock timepiece;hanging clock;clock wall;wall watch
Flag / National Flag,flag national tricolor jhanda,flag;flags;jhanda;jhandaa;national flag;indian flag;tricolour flag;tricolor flag;tiranga;tiranga jhanda;khadi flag;polyester flag;cotton flag;table flag;car flag;hand flag;wall flag;pole flag;flag pole;flagpole;flag mast;flag with pole;office flag;flg;flagg;jhnda;jhanda flag;rashtriya dhwaj;monsoon flag;outdoor flag;indoor flag;6x4 flag;3x2 flag;national flag standard;bis flag;is 1 flag;flag set;buntings;flag bunting;decorative flag;advertising flag;promotional flag;roll up flag;beach flag;banner flag;corporate flag;sports flag;state flag;organisation flag;flag hoisting kit;flag cloth;silk flag;satin flag;flag pole aluminium;flag pole stainless steel;flag jhanda;rashtra dhwaj
Banner / Flex Printing,banner flex printing hoarding display,banner;banners;flex;flex banner;flex printing;flex board;hoarding;hoardings;vinyl banner;pvc banner;backlit flex;frontlit flex;star flex;banner printing;digital printing banner;poster printing;standee;standees;roll up standee;x banner;banner stand;baner;bannar;flx;flex baner;flexx;advertising banner;promotional banner;event banner;backdrop banner;stage backdrop;welcome banner;birthday banner;shop banner;signage banner;outdoor banner;indoor banner;canvas banner;cloth banner;fabric banner;mesh banner;vinyl flex;one way vision;sticker printing;vinyl sticker;sunboard printing;acp board printing;led banner;scrolling banner;gantry banner;road banner;pole banner;wall banner;banner flex;flex hoarding;printing banner
Trophy / Memento,trophy memento award momento shield,trophy;trophies;memento;mementoes;momento;momentos;award;awards;shield;shields;medal;medals;prize;trophy cup;cup trophy;acrylic trophy;crystal trophy;glass trophy;wooden trophy;metal trophy;sports trophy;winner trophy;runner up trophy;participation trophy;trophie;trophi;tropy;momanto;memonto;memuto;gold medal;silver medal;bronze medal;gold trophy;silver trophy;achievement award;recognition award;appreciation memento;felicitation memento;corporate memento;customized trophy;personalised trophy;engraved memento;acrylic memento;crystal memento;wooden shield;brass shield;plaque;award plaque;certificate frame;trophy stand;prize memento;reward trophy;school trophy;college trophy;annual day trophy;sports medal;trophy award;momento shield
